date,sentiment_mean,sentiment_std,tweet_count,positive_ratio,negative_ratio,neutral_ratio,weighted_sentiment_mean
2025-12-10,0.2525,0.4719,120,0.6250,0.2000,0.1750,0.2401
2025-12-11,0.2799,0.5181,119,0.5798,0.2185,0.2017,0.2985
2025-12-12,0.2823,0.5146,119,0.6134,0.2017,0.1849,0.2900
2025-12-13,0.2990,0.5241,120,0.6083,0.1917,0.2000,0.3142
2025-12-14,0.2864,0.4846,120,0.6000,0.1667,0.2333,0.3062
2025-12-15,0.2215,0.5841,120,0.5667,0.2667,0.1667,0.2110
2025-12-16,0.3016,0.5027,119,0.5882,0.2101,0.2017,0.2863
2025-12-17,0.1664,0.5489,120,0.5083,0.2833,0.2083,0.1974
2025-12-18,0.2100,0.5400,120,0.5083,0.2750,0.2167,0.2301
2025-12-19,0.2031,0.5378,120,0.5250,0.2250,0.2500,0.2097
2025-12-20,0.2854,0.5398,120,0.6333,0.2250,0.1417,0.2907
2025-12-21,0.1951,0.5753,120,0.5250,0.2917,0.1833,0.1306
2025-12-22,0.2553,0.4739,120,0.5417,0.1667,0.2917,0.2586
2025-12-23,0.3175,0.4704,120,0.6083,0.1750,0.2167,0.3085
2025-12-24,0.2412,0.5042,120,0.5417,0.2083,0.2500,0.2077
2025-12-25,0.3044,0.5284,119,0.5714,0.1933,0.2353,0.2882
2025-12-26,0.2469,0.5502,120,0.6000,0.2417,0.1583,0.2642
2025-12-27,0.2323,0.5054,120,0.5750,0.1917,0.2333,0.2383
2025-12-28,0.2931,0.5095,120,0.5917,0.1833,0.2250,0.3020
2025-12-29,0.2114,0.5192,120,0.4667,0.1917,0.3417,0.2033
2025-12-30,0.2384,0.5344,120,0.5667,0.2083,0.2250,0.2515
2025-12-31,0.3892,0.5058,120,0.6667,0.1583,0.1750,0.3882
2026-01-01,0.2402,0.5044,120,0.5333,0.2167,0.2500,0.2150
2026-01-02,0.2618,0.5116,120,0.5750,0.2000,0.2250,0.2972
2026-01-03,0.2231,0.4987,120,0.5417,0.2333,0.2250,0.2034
2026-01-04,0.2877,0.4815,120,0.5917,0.1667,0.2417,0.2750
