bucket,sentiment_mean,tweet_count,weighted_sentiment_mean
2025-08-11 04:00:00,0.2982,20,0.2797
2025-08-11 08:00:00,0.2025,20,0.1588
2025-08-11 12:00:00,0.1307,20,0.1497
2025-08-11 16:00:00,0.1798,20,0.1979
2025-08-11 20:00:00,0.2902,20,0.2160
2025-08-12 00:00:00,0.4995,20,0.4776
2025-08-12 04:00:00,0.2766,20,0.2665
2025-08-12 08:00:00,0.1647,20,0.1657
2025-08-12 12:00:00,0.2625,20,0.2992
2025-08-12 16:00:00,0.4785,20,0.4239
2025-08-12 20:00:00,0.3534,20,0.2725
2025-08-13 00:00:00,0.1722,20,0.1974
2025-08-13 04:00:00,0.2690,20,0.2514
2025-08-13 08:00:00,0.3016,20,0.3364
2025-08-13 12:00:00,0.2656,20,0.1612
2025-08-13 16:00:00,0.3968,19,0.4040
2025-08-13 20:00:00,0.3651,20,0.3706
2025-08-14 00:00:00,0.2963,20,0.2914
2025-08-14 04:00:00,0.4544,20,0.4327
2025-08-14 08:00:00,0.2173,20,0.2749
2025-08-14 12:00:00,0.2506,20,0.2609
2025-08-14 16:00:00,0.1758,20,0.2058
2025-08-14 20:00:00,0.2044,20,0.1602
2025-08-15 00:00:00,0.3330,20,0.3546
2025-08-15 04:00:00,0.4122,20,0.3913
2025-08-15 08:00:00,0.1931,20,0.2408
2025-08-15 12:00:00,0.2999,20,0.2737
2025-08-15 16:00:00,0.5778,20,0.6136
2025-08-15 20:00:00,0.2230,20,0.2955
2025-08-16 00:00:00,0.3409,19,0.3629
2025-08-16 04:00:00,0.5258,20,0.5491
2025-08-16 08:00:00,0.3294,20,0.3271
2025-08-16 12:00:00,0.3254,20,0.2667
2025-08-16 16:00:00,0.3293,20,0.3091
2025-08-16 20:00:00,0.2516,20,0.2337
2025-08-17 00:00:00,0.2909,20,0.3202
2025-08-17 04:00:00,0.4254,20,0.4587
2025-08-17 08:00:00,0.3960,20,0.3636
2025-08-17 12:00:00,0.2329,20,0.2243
2025-08-17 16:00:00,0.2363,20,0.2748
2025-08-17 20:00:00,0.2777,20,0.2795
2025-08-18 00:00:00,0.3790,20,0.2616
2025-08-18 04:00:00,0.4378,20,0.3876
2025-08-18 08:00:00,0.1176,20,0.0944
2025-08-18 12:00:00,0.2835,20,0.2825
2025-08-18 16:00:00,0.3275,20,0.3164
2025-08-18 20:00:00,0.4757,20,0.4578
2025-08-19 00:00:00,0.1903,20,0.2172
2025-08-19 04:00:00,0.3709,20,0.3984
2025-08-19 08:00:00,0.1179,20,0.0639
2025-08-19 12:00:00,0.2748,20,0.1781
2025-08-19 16:00:00,0.4385,20,0.4792
2025-08-19 20:00:00,0.1346,20,0.1227
2025-08-20 00:00:00,0.2826,20,0.2306
2025-08-20 04:00:00,0.4819,20,0.5136
2025-08-20 08:00:00,0.4490,20,0.4392
2025-08-20 12:00:00,0.1973,20,0.1293
2025-08-20 16:00:00,0.3346,20,0.4352
2025-08-20 20:00:00,0.3903,20,0.3630
2025-08-21 00:00:00,0.1224,19,0.1679
2025-08-21 04:00:00,0.2852,20,0.3133
2025-08-21 08:00:00,0.4159,20,0.4567
2025-08-21 12:00:00,0.3570,19,0.4157
2025-08-21 16:00:00,0.4217,20,0.4391
2025-08-21 20:00:00,0.3584,20,0.3606
2025-08-22 00:00:00,0.2594,20,0.2272
2025-08-22 04:00:00,0.2931,20,0.2551
2025-08-22 08:00:00,0.2899,20,0.2973
2025-08-22 12:00:00,0.2317,20,0.2202
2025-08-22 16:00:00,0.3344,20,0.3447
2025-08-22 20:00:00,0.2333,20,0.1795
2025-08-23 00:00:00,-0.0339,20,-0.1009
2025-08-23 04:00:00,0.3308,20,0.3639
2025-08-23 08:00:00,0.5265,20,0.5063
2025-08-23 12:00:00,0.3858,20,0.3231
2025-08-23 16:00:00,0.4627,20,0.4818
2025-08-23 20:00:00,0.3042,20,0.2688
2025-08-24 00:00:00,0.4164,20,0.4475
2025-08-24 04:00:00,0.3115,20,0.3579
2025-08-24 08:00:00,0.3866,20,0.3554
2025-08-24 12:00:00,0.2836,20,0.3450
2025-08-24 16:00:00,0.1630,20,0.1913
